Geneid	DA1	DA1c	DA2	DA2c	DA3	DA3c	DB1	DB1c	DB2	DB2c	DB3	DB3c	DD1	DD1c	DD2	DD2c	DD3	DD3c
ENSG00000272141	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0
TTLL10-AS1	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	3
TTLL10	0	1	0	5	0	2	0	1	0	4	0	4	0	5	0	3	0	0
TNFRSF18	0	3	4	1	0	0	0	5	0	1	0	1	1	6	0	4	0	6
TNFRSF4	0	0	2	1	0	0	2	0	3	0	3	0	1	1	0	0	3	0
SDF4	194	2983	211	1717	225	1393	234	1430	276	590	225	1376	214	1089	129	1419	244	1568
B3GALT6	204	220	125	180	184	144	148	332	100	144	114	143	99	180	80	322	210	247
C1QTNF12	31	15	17	11	13	19	22	27	34	6	15	11	25	12	10	16	14	16
ENSG00000260179	0	3	0	1	0	0	0	5	6	2	6	0	0	0	3	0	1	0
UBE2J2	3825	1015	2721	730	2593	606	2352	1959	2011	1084	2007	970	2013	661	1596	1000	1992	1068
LINC01786	0	10	0	6	2	6	0	8	0	2	0	7	0	1	0	15	0	12
SCNN1D	26	377	15	374	13	329	39	504	12	260	23	423	26	424	12	687	18	579
ACAP3	2	512	9	293	6	242	0	232	14	100	5	210	7	143	4	261	10	297
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	1970	1064	1344	718	1321	735	1252	2785	972	1440	1044	1206	1085	899	868	1197	954	929
INTS11	763	1720	489	1246	599	1341	527	3689	461	1970	444	1881	646	1892	396	3075	489	2876
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	43	41	36	47	46	45	19	51	33	30	29	43	32	48	14	33	28	30
CPTP	206	417	137	299	129	274	121	405	111	176	103	248	120	272	130	342	137	392
TAS1R3	3	18	0	13	0	6	0	22	0	3	0	4	0	22	0	24	0	18
DVL1	71	599	74	462	58	380	53	438	48	206	76	260	48	282	49	317	86	363
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	51	1014	37	538	37	420	39	675	26	299	40	392	59	427	31	801	44	742
AURKAIP1	9707	1816	6624	1655	7701	1703	6466	5788	5969	2685	6064	1948	6512	1282	5321	1169	7563	1055
NDUFB4P8	2	1	0	3	2	0	3	3	2	6	0	2	3	0	0	4	0	0
CCNL2	137	3009	123	1912	89	1571	173	4020	95	2998	71	2337	83	3483	73	6068	87	6627
MRPL20-AS1	38	587	27	522	23	524	16	2218	26	1390	20	832	48	625	17	899	23	539
MRPL20	4027	1058	2900	870	3066	1023	2594	4441	2750	2275	2424	1090	2737	720	2300	725	3275	765
RN7SL657P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL20-DT	23	125	8	80	8	94	12	154	7	103	9	63	10	75	7	76	17	52
ANKRD65	23	2	18	6	5	2	4	38	10	19	11	22	1	14	0	35	6	27
ENSG00000225905	0	0	2	0	0	0	0	5	0	1	0	0	4	0	11	3	0	1
TMEM88B	6	14	1	13	5	6	8	17	14	9	5	7	2	8	5	6	2	12
LINC01770	35	28	31	13	33	25	48	31	15	18	15	22	23	18	13	32	27	16
VWA1	33	240	26	199	18	240	17	319	22	128	24	273	15	135	13	235	19	204
ATAD3C	2	11	0	9	3	4	2	14	3	16	9	5	2	6	1	4	18	11
ATAD3B	88	1116	56	749	74	709	58	1050	58	606	56	568	66	797	44	1245	99	1244
ENSG00000284740	23	1	27	5	33	4	34	30	23	11	25	3	15	9	12	7	10	8
ATAD3A	93	858	56	561	72	574	57	1077	36	593	38	547	67	794	26	1123	31	1070
TMEM240	5	3	3	3	0	3	1	2	3	2	3	1	0	5	0	0	2	1
SSU72	6462	1279	4742	853	5094	799	4333	4489	3973	2698	4023	1367	4201	1342	2828	2041	3822	1324
ENSG00000215014	87	70	59	68	48	49	56	282	23	126	53	65	40	70	53	107	72	102
ENSG00000274481	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0
FNDC10	60	377	18	272	29	268	26	619	40	344	20	280	17	234	24	341	23	310
ENSG00000286989	6	55	4	31	11	33	4	125	0	67	0	46	4	41	5	63	0	41
ENSG00000272106	35	56	7	19	8	66	22	194	24	137	16	30	28	33	19	45	19	23
MIB2	83	255	55	157	86	172	68	236	63	112	98	147	87	139	63	196	128	235
MMP23B	0	2	0	5	0	0	2	1	2	0	0	0	0	0	0	0	0	0
CDK11B	104	727	69	549	72	615	65	1345	53	738	66	613	54	650	40	892	58	848
ENSG00000272004	35	1	27	0	26	2	18	6	9	4	8	5	20	1	11	1	20	1
SLC35E2B	67	1599	61	1295	53	1298	75	3057	38	1584	47	3056	60	1869	28	2314	27	2426
ENSG00000269737	0	29	0	35	3	36	0	85	0	43	0	62	2	29	0	66	0	55
MMP23A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11A	23	109	17	72	16	85	6	194	24	120	17	81	11	82	2	152	16	188
ENSG00000268575	8	114	3	92	4	102	3	333	3	188	2	280	4	123	2	147	1	158
ENSG00000227775	20	178	8	95	3	156	5	315	5	190	3	219	2	198	2	246	8	209
SLC35E2A	6	185	0	123	6	150	1	348	5	187	4	379	6	171	2	215	4	215
NADK	251	939	148	560	75	570	145	1219	110	776	119	823	108	935	83	1397	192	1594
GNB1	1137	1617	803	1398	821	1309	799	4677	861	3604	782	2038	771	2088	672	3556	910	1992
ENSG00000231050	30	20	9	13	6	16	20	35	7	26	12	6	20	12	18	17	16	12
CALML6	0	12	1	4	1	8	4	2	0	2	0	2	0	15	0	15	6	4
TMEM52	243	86	238	92	162	90	145	218	157	98	108	69	115	64	135	53	167	29
CFAP74	7	54	9	45	14	49	4	91	6	53	2	67	6	48	4	58	6	105
ENSG00000233542	5	7	0	11	2	1	0	7	1	6	7	4	3	8	0	3	0	2
GABRD	58	149	63	90	44	125	64	305	54	183	45	249	43	159	31	195	56	219
ENSG00000226969	10	5	8	13	8	6	12	20	3	9	6	13	17	0	10	3	2	0
PRKCZ	12	124	16	85	29	109	14	391	15	235	13	245	32	171	16	197	28	194
ENSG00000271806	1	0	0	6	0	5	0	12	1	3	0	3	3	5	0	7	0	5
PRKCZ-AS1	1	54	7	41	4	34	1	87	19	59	4	61	2	51	8	70	0	89
FAAP20	641	653	576	358	514	384	568	755	519	366	517	443	587	456	440	582	515	548
ENSG00000234396	2	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	4	0
SKI	253	1159	132	955	142	940	155	1136	90	550	97	826	127	788	120	963	171	958
ENSG00000287356	28	16	21	28	16	9	19	41	16	24	19	18	26	28	10	31	24	30
MORN1	118	271	96	242	82	199	102	435	76	243	45	301	38	336	45	446	95	386
ENSG00000272161	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	8	0	0
ENSG00000269896	4	110	1	45	0	19	4	65	3	41	1	38	3	90	0	70	1	111
ENSG00000272420	1	10	4	1	3	7	4	10	4	20	0	6	5	3	1	11	0	7
RER1	5771	1720	4448	1220	4394	1238	3764	3057	3774	1520	3498	1280	4212	1205	2864	1804	3388	2141
PEX10	105	715	108	519	140	441	116	443	96	225	147	361	185	431	101	593	143	732
PLCH2	1	35	0	21	0	16	6	18	1	13	1	15	2	13	0	29	3	24
ENSG00000224387	0	6	0	7	0	0	0	1	0	2	0	0	0	0	0	2	0	8
ENSG00000229393	0	11	0	11	0	6	0	5	0	0	0	6	0	2	0	5	0	5
PANK4	92	1299	38	970	32	807	43	2225	27	1571	71	1177	18	1460	38	2633	44	3171
HES5	10	210	9	102	13	101	2	111	3	53	4	77	2	67	2	73	2	69
ENSG00000272449	32	135	16	76	26	70	50	78	32	19	38	40	33	47	32	78	36	72
TNFRSF14-AS1	6	4	0	2	0	0	0	4	0	1	0	11	0	2	0	0	0	2
TNFRSF14	0	19	5	1	0	13	0	38	0	15	0	28	0	27	4	22	3	40
ENSG00000225931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228037	0	0	15	4	5	0	0	5	0	5	5	0	6	4	11	4	6	2
ENSG00000289610	5	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	0	0
PRXL2B	60	398	42	271	24	288	37	742	34	344	39	452	16	391	41	537	37	571
MMEL1	0	5	0	0	0	0	2	18	0	18	0	11	0	6	1	15	4	6
MMEL1-AS1	3	0	1	0	2	0	3	1	2	2	1	0	2	0	0	1	0	2
TTC34	3	44	6	39	2	55	3	81	0	57	8	67	4	56	0	93	1	56
ENSG00000285945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287396	27	3	12	1	5	1	15	19	5	8	10	6	19	4	8	2	10	1
ENSG00000231630	0	0	0	2	0	0	0	5	0	3	0	2	0	1	0	4	0	5
ENSG00000284745	2	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	1	0	0	0	12	2	0	0	0	0	0	0	0	1
PRDM16-DT	6	29	11	27	11	20	8	42	3	15	9	22	17	16	7	19	5	12
PRDM16	20	434	12	324	11	305	9	748	17	360	21	525	10	475	12	837	44	737
MIR4251	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2
ENSG00000226286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000279839	0	2	1	0	0	3	0	0	0	2	0	0	1	3	0	2	0	0
ENSG00000272235	0	3	0	3	0	2	0	11	0	5	0	4	0	4	1	1	0	0
ENSG00000287828	9	11	7	7	8	2	17	11	0	8	3	3	0	11	5	26	8	9
ENSG00000286518	0	4	0	0	0	1	0	9	0	2	0	4	0	4	0	2	0	1
ARHGEF16	4	186	2	159	1	143	1	336	6	204	1	203	13	187	5	248	1	267
ENSG00000272088	0	0	2	0	0	1	0	1	0	2	0	1	0	0	0	0	1	0
MEGF6	8	84	3	87	0	78	7	156	12	104	3	107	4	77	13	112	7	144
MIR551A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260	0	11	0	4	1	11	0	13	0	15	1	2	0	4	1	7	0	8
TPRG1L	454	109	320	86	275	88	289	339	209	208	195	102	232	155	201	219	318	152
WRAP73	531	1453	307	985	387	964	370	3205	331	1949	286	1691	300	1424	242	1800	275	2163
TP73	56	607	37	408	57	349	51	863	33	529	40	657	46	588	34	850	38	912
TP73-AS3	4	1	9	0	0	1	4	6	0	3	2	2	0	0	0	0	4	2
TP73-AS2	0	4	0	1	0	4	0	4	0	0	0	4	0	3	0	4	0	1
TP73-AS1	106	913	91	495	105	438	91	1095	105	755	100	534	110	633	96	1041	110	1091
ENSG00000276189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	4	5	0	2	4	5	0	11	2	16	0	11	1	2	0	17	0	6
SMIM1	260	50	133	25	225	31	236	95	198	26	190	39	175	18	149	22	181	28
LRRC47	573	1225	400	947	464	769	505	1772	485	1070	494	697	511	660	374	798	526	843
RN7SL574P	0	4	0	6	0	1	0	11	0	8	0	4	3	4	0	3	0	4
ENSG00000272153	0	12	0	18	0	13	1	11	1	11	0	12	0	12	4	11	3	17
CEP104	502	458	411	416	444	390	284	916	311	639	296	415	357	515	346	705	324	686
DFFB	112	265	33	234	46	266	44	775	54	435	51	307	26	291	18	350	49	253
C1orf174	867	417	532	305	596	397	573	2894	562	1639	487	1187	591	910	380	1354	564	619
LINC01134	5	32	7	21	18	24	2	76	6	24	12	27	11	23	3	46	5	39
LINC01346	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	1	0
LINC01345	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0
LINC02780	0	0	0	0	0	0	0	5	0	1	0	0	5	0	0	1	0	0
ENSG00000284703	0	1	1	1	0	1	0	4	0	1	0	2	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NPHP4	23	953	23	678	18	672	12	1562	9	911	8	1562	12	969	12	1176	2	1264
KCNAB2	87	272	69	167	47	155	38	509	48	310	37	342	37	342	18	438	58	510
CHD5	2	90	5	85	5	57	4	177	2	91	5	173	0	89	6	150	22	222
ENSG00000285629	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
RPL22	2327	787	1749	685	1599	543	1635	4957	1790	3474	1783	1298	1605	1769	1428	2952	2165	2472
RNF207-AS1	28	5	9	6	21	8	20	17	10	12	10	7	25	2	24	4	25	3
RNF207	32	509	12	409	29	333	29	586	20	335	15	478	21	437	25	758	27	740
ICMT	3379	5057	2849	3839	2416	4248	2433	8246	2298	5561	2230	10010	2476	7077	1540	9097	1931	10342
LINC00337	318	153	213	143	204	174	243	447	189	251	163	209	172	148	162	207	196	121
HES3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
GPR153	13	132	16	114	25	103	27	328	22	221	19	186	11	113	7	217	29	158
ACOT7	2927	1359	2136	1132	1873	1184	1704	4806	1419	2775	1405	2166	1903	1314	1282	1657	1307	1070
ENSG00000271746	1	2	9	4	2	2	8	6	14	7	7	2	4	1	5	0	13	3
HES2	34	41	43	24	33	23	41	55	23	29	27	31	25	20	26	29	15	33
ESPN	27	16	26	7	50	27	31	12	26	7	33	17	23	10	38	25	46	3
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	0	0	0	4	0	2	0	0	0	0	3	1	0	0	0	0	0	0
TNFRSF25	0	45	5	26	2	58	0	139	3	81	6	77	2	86	1	117	2	134
PLEKHG5	6	515	8	383	9	352	25	597	15	324	7	642	4	496	12	791	3	869
NOL9	315	1047	315	874	242	929	230	1952	259	1571	273	846	210	1035	179	1303	283	1320
RNU6-731P	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000229519	0	1	0	10	0	9	0	7	0	5	0	1	0	3	0	4	0	9
TAS1R1	0	17	3	7	8	9	4	37	2	41	0	22	0	18	10	32	0	33
ZBTB48	406	624	210	480	287	452	223	1630	162	1090	203	797	264	907	114	1396	168	1435
KLHL21	55	2236	46	1512	18	1462	54	2395	10	1315	28	2309	31	1657	25	2221	38	2451
PHF13	530	1077	325	866	375	664	320	954	329	594	240	671	306	736	262	1016	325	1140
THAP3	2812	437	1890	330	1952	374	1627	1728	1333	997	1369	638	1311	523	1191	742	1129	801
DNAJC11	70	1547	38	835	50	978	50	3273	23	2271	37	1863	25	2408	27	3799	65	4050
LINC01672	0	0	2	1	0	1	5	2	1	1	0	0	1	1	2	0	0	3
ENSG00000284744	0	0	0	0	2	2	0	5	0	0	0	1	0	0	0	1	2	2
CAMTA1-DT	46	13	29	13	57	18	45	17	59	11	50	7	39	6	33	7	56	3
CAMTA1	6112	776	4325	536	4680	631	4128	3779	3894	2210	3506	1314	4386	565	2905	596	4394	428
ENSG00000227950	4	0	2	0	0	0	0	6	0	0	0	2	5	5	2	1	3	0
ENSG00000237365	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3
RNU1-8P	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CAMTA1-IT1	14	1	7	4	9	1	10	9	2	4	0	4	5	1	8	0	4	0
CAMTA1-AS2	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0
CAMTA1-AS1	22	0	3	0	2	0	5	2	9	0	0	3	5	0	3	0	1	6
ENSG00000270171	0	3	0	0	3	0	0	10	0	14	0	5	0	3	0	2	0	7
ENSG00000270035	0	7	0	1	0	6	0	15	0	8	0	3	0	4	2	8	3	0
ENSG00000269978	0	18	0	3	0	2	1	8	0	21	0	6	0	1	0	10	0	1
VAMP3	1098	1008	818	855	848	1108	713	5704	785	3953	737	2025	767	764	565	1188	775	568
ENSG00000269925	7	7	3	7	2	1	3	15	0	19	2	8	1	4	3	7	6	8
PER3	38	89	31	72	34	78	21	218	12	156	11	132	32	136	22	229	13	251
ENSG00000236266	0	2	1	0	0	1	0	3	0	1	0	4	1	4	0	1	0	3
UTS2	1	0	8	0	0	0	1	5	5	8	6	2	1	0	2	1	4	0
TNFRSF9	147	65	92	66	92	86	70	170	97	166	64	56	86	75	63	139	73	97
ENSG00000270330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARK7	3533	1269	2571	851	2533	920	2164	16792	2143	9978	2035	3587	2338	2269	1668	2734	2536	819
Y_RNA	1570	289	1099	238	1189	242	877	670	969	521	832	288	989	251	965	344	1314	258
ENSG00000284747	51	63	24	52	46	58	30	127	30	105	27	67	19	108	7	154	31	118
ENSG00000284716	0	11	0	15	0	3	0	5	0	9	1	10	1	9	1	13	1	3
ERRFI1	858	492	900	473	917	377	665	1364	643	987	578	560	719	404	502	741	828	309
ENSG00000238290	3	0	4	1	0	0	0	12	0	4	2	2	6	1	2	0	2	1
ENSG00000232848	0	0	0	0	1	2	0	1	0	0	1	1	0	0	0	1	0	0
ENSG00000229305	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1
ENSG00000288816	1	0	0	0	7	1	0	0	2	1	1	2	0	0	0	0	3	0
LINC01714	0	0	0	0	1	0	0	2	0	1	1	0	0	4	0	0	0	0
RNU1-7P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A1	14	18	5	12	3	22	10	48	2	34	1	43	13	13	8	31	5	23
RERE	240	2582	148	2069	181	2078	169	4156	117	2302	137	3531	124	2923	107	4212	172	3469
RERE-AS1	0	0	0	4	2	3	0	6	1	4	8	2	0	0	0	3	0	2
ENSG00000221083	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2
ENSG00000270282	0	0	0	2	0	1	0	1	0	2	0	1	0	0	0	0	0	1
RPL7P11	0	4	0	0	0	7	2	4	0	1	0	4	0	1	0	4	3	1
RPL7P7	4	0	4	1	1	1	0	4	2	3	1	1	4	0	1	1	0	0
ENSG00000226545	0	3	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000228423	0	3	0	0	0	4	0	8	0	5	0	2	0	8	1	7	1	2
RPL23AP19	0	0	1	0	0	1	0	2	0	1	0	0	0	1	1	0	0	0
ENO1	9223	23204	6885	22191	6868	23474	4746	168390	4650	131999	4565	59040	4902	46804	3409	110022	4243	41814
MIR6728	0	0	0	1	0	0	0	5	0	2	0	1	0	0	0	2	0	1
ENO1-AS1	11	12	24	7	15	6	23	48	23	38	2	5	16	14	16	6	4	11
RNU6-304P	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
