Geneid	HSA1	HSA1_c	HSA2	HSA2_c	HSA3	HSA3_c	HSB1	HSB1_c	HSB2	HSB2_c	HSB3	HSB3_c	HSD1	HSD1_c	HSD2	HSD2_c	HSD3	HSD3_c
ENSG00000287396	33	10	40	13	35	14	10	1	3	1	3	7	6	4	7	2	4	2
ENSG00000231630	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
PRDM16-DT	0	3	0	1	5	2	4	9	3	1	2	6	8	5	1	5	17	4
PRDM16	5	77	2	101	4	117	8	42	1	30	1	41	5	146	8	131	5	230
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226286	0	1	0	0	0	0	0	9	0	10	0	6	0	0	0	0	0	0
ENSG00000279839	0	1	0	0	0	1	0	2	1	0	0	0	0	2	0	1	0	2
ENSG00000272235	0	5	0	2	0	1	0	1	0	0	0	0	0	2	0	4	0	4
ENSG00000287828	0	6	0	5	0	3	0	2	1	2	3	8	7	5	1	4	0	6
ENSG00000286518	0	7	3	2	0	1	0	0	0	0	0	2	0	4	0	2	0	2
ARHGEF16	0	47	0	42	0	85	2	55	2	66	1	63	0	92	0	62	3	70
ENSG00000272088	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	0	18	0	26	1	36	1	6	0	6	2	17	1	24	0	20	0	29
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260	0	2	0	3	0	7	1	10	0	7	0	12	0	1	0	4	0	5
TPRG1L	72	186	84	189	56	194	36	204	31	123	40	128	102	96	94	87	112	118
WRAP73	70	718	80	685	63	738	70	546	50	780	60	883	82	837	43	773	70	1114
TP73	7	148	6	149	6	148	7	92	10	79	17	91	18	198	11	212	29	279
TP73-AS3	2	2	6	4	1	5	0	1	0	0	0	3	0	2	0	3	0	1
TP73-AS2	0	3	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	1
TP73-AS1	20	327	19	367	30	402	41	205	22	357	32	345	46	544	55	256	55	372
ENSG00000276189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	1	5	0	4	0	8	0	2	0	2	1	0	0	1	0	2	2	1
SMIM1	47	10	45	5	27	15	85	5	62	5	61	9	62	13	50	10	93	15
LRRC47	151	694	175	701	171	864	141	623	96	547	145	691	162	947	127	434	278	691
RN7SL574P	0	3	0	1	0	4	0	2	0	3	0	4	0	2	0	0	0	2
ENSG00000272153	1	3	1	6	0	1	0	1	0	3	0	5	0	4	0	1	0	3
CEP104	68	480	52	502	35	497	40	241	18	275	34	311	68	373	52	217	110	319
DFFB	30	250	16	287	13	274	9	90	3	186	8	217	31	295	36	263	41	385
C1orf174	169	756	208	836	173	899	129	498	80	810	95	931	211	735	171	747	284	1023
LINC01134	1	29	4	20	5	26	3	5	3	8	1	11	0	11	3	6	0	18
LINC01346	0	2	0	1	0	4	0	1	2	0	1	1	0	0	0	1	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02780	0	3	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000284703	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
EEF1DP6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01777	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287586	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	5	371	4	319	2	355	3	104	2	131	8	178	3	307	2	334	0	528
KCNAB2	16	89	24	88	24	98	16	21	2	36	20	43	18	72	23	129	23	204
CHD5	0	25	0	28	0	35	0	15	0	14	2	11	0	22	0	24	0	34
ENSG00000285629	0	0	3	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
RPL22	868	1027	1135	913	817	1131	923	1534	646	1545	847	1594	828	1442	765	1250	961	1785
RNF207-AS1	0	2	3	1	2	3	2	0	0	0	1	0	2	1	2	1	2	2
RNF207	11	82	6	88	6	134	5	43	1	34	5	56	4	84	1	86	10	132
ICMT	209	3022	331	3507	259	3762	350	1157	190	2031	297	1953	541	4079	270	2795	1054	5705
LINC00337	63	118	52	119	59	126	93	46	56	50	49	71	72	120	57	94	103	156
HES3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	1	57	0	31	6	63	2	33	4	19	3	34	8	65	10	71	7	89
ACOT7	325	1179	353	1211	272	1276	322	928	236	1120	183	1358	571	1297	571	1172	683	1641
ENSG00000271746	1	2	0	1	0	0	2	0	1	4	0	5	0	3	1	0	3	6
HES2	7	6	11	6	3	7	12	5	5	3	8	4	3	8	6	1	7	9
ESPN	2	2	3	3	5	0	15	4	7	3	10	3	9	1	4	6	25	2
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	1	25	1	16	1	35	2	12	3	17	0	21	2	25	2	24	2	24
PLEKHG5	0	78	0	61	0	78	2	34	2	50	0	44	7	93	7	62	6	168
NOL9	57	1007	47	1095	39	1055	59	474	44	620	43	680	119	998	84	600	128	729
RNU6-731P	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000229519	0	7	0	2	0	1	0	2	0	0	0	3	0	4	0	1	0	0
TAS1R1	0	14	4	9	0	13	0	3	1	4	0	3	0	3	0	3	0	14
ZBTB48	146	801	88	810	79	833	115	302	28	402	51	448	91	488	74	431	97	621
KLHL21	11	828	0	836	22	848	3	556	5	838	6	879	19	767	3	634	6	1190
PHF13	32	241	22	315	34	347	36	340	28	446	35	394	63	343	48	243	97	414
THAP3	241	347	237	343	205	376	344	440	253	445	294	533	497	359	613	346	742	510
DNAJC11	16	1436	17	1521	21	1574	15	264	10	600	20	612	19	1226	14	1107	41	1444
LINC01672	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1
ENSG00000284744	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0
CAMTA1-DT	15	6	31	1	17	3	17	6	12	1	10	3	10	6	3	1	7	5
CAMTA1	1347	666	1752	724	1134	921	1222	789	837	966	1034	1149	1261	924	1245	708	1664	988
ENSG00000227950	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
ENSG00000237365	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-IT1	2	0	6	0	2	2	3	0	0	0	3	0	2	0	0	1	4	1
CAMTA1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CAMTA1-AS1	2	0	0	0	0	1	4	0	2	0	3	0	2	0	4	1	1	0
ENSG00000270171	0	4	0	3	0	1	1	5	0	0	0	1	0	1	0	1	0	1
ENSG00000270035	0	1	0	3	0	2	0	1	0	0	2	4	3	1	0	2	0	5
ENSG00000269978	0	0	0	3	2	3	0	1	0	1	0	3	0	2	0	2	0	2
VAMP3	242	1652	241	1763	245	1939	207	576	129	918	169	997	330	1677	254	1467	411	1938
ENSG00000269925	0	4	0	6	0	5	1	19	0	17	2	18	0	8	0	4	0	2
PER3	1	46	5	43	1	59	1	25	1	34	6	38	8	53	6	52	9	77
ENSG00000236266	3	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0
UTS2	0	3	1	1	1	2	0	0	4	0	2	1	3	2	3	0	0	1
TNFRSF9	8	27	8	26	3	40	19	16	12	23	5	30	32	38	19	36	31	57
ENSG00000270330	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PARK7	1540	3803	1877	4097	1142	4389	1089	3940	780	4517	879	4758	1086	4760	1129	4476	1654	6050
Y_RNA	99	148	75	175	65	193	252	70	260	146	332	149	281	119	228	86	252	99
ENSG00000284747	16	91	18	104	15	108	14	42	7	45	9	70	8	50	8	34	16	58
ENSG00000284716	0	6	0	6	2	8	0	8	0	5	0	3	0	1	0	4	0	4
ERRFI1	50	467	58	680	70	938	80	599	76	1138	69	1195	144	794	131	255	200	458
ENSG00000238290	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	1	3	2
ENSG00000232848	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000229305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000288816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01714	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RNU1-7P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A1	0	2	0	1	0	1	0	1	1	2	0	3	0	5	0	1	0	8
RERE	15	1091	25	1126	28	1226	30	690	28	758	18	832	20	874	38	793	34	1252
RERE-AS1	0	2	0	0	0	0	0	0	1	1	1	0	0	1	0	2	3	0
ENSG00000221083	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000270282	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7P11	5	1	0	1	0	2	0	3	0	0	4	1	0	1	0	1	0	1
RPL7P7	0	1	0	0	0	1	0	4	0	1	0	1	0	1	0	0	0	0
ENSG00000226545	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000228423	0	1	0	3	0	3	0	1	0	3	0	1	0	0	0	5	0	0
RPL23AP19	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
ENO1	4128	30689	4240	29857	3693	32969	1734	25436	1154	34203	1210	37939	3348	37425	3270	29700	4476	44839
MIR6728	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	1
ENO1-AS1	6	1	2	8	8	13	4	2	2	4	1	7	1	10	0	2	5	6
RNU6-304P	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HMGN2P17	1	2	1	2	2	0	0	0	2	0	2	1	2	0	2	2	3	1
ENSG00000232208	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000232663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
