Geneid	D1	D1c	D2	D2c	D3	D3c	ND1	ND1c	ND2	ND2c	ND3	ND3c
MTATP6P1	13	920	13	678	5	695	21	1032	25	910	21	839
MTCO3P12	0	6	0	5	0	1	0	13	0	6	0	6
WBP1LP6	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0
CICP3	0	2	0	0	0	1	0	0	0	5	0	1
ENSG00000228327	4	24	9	11	5	11	3	41	0	42	0	56
RNU6-1199P	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0
LINC01409	6	8	9	10	13	9	0	13	2	11	0	13
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	38	10	46	2	22	7	7	2	22	6	10	4
FAM87B	2	9	0	3	9	4	0	1	9	6	3	7
LINC01128	17	203	33	122	42	163	13	197	10	189	5	202
LINC00115	6	12	9	15	15	18	0	20	7	16	4	7
ENSG00000288531	0	0	0	1	0	0	0	0	0	0	0	0
FAM41C	0	0	2	0	0	0	0	0	0	0	0	0
TUBB8P11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	0	9	0	0	0	0	0	5	0	0	0
ENSG00000230699	0	2	0	0	0	8	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0
LINC02593	0	3	0	4	0	0	0	6	0	6	0	1
SAMD11	1	4	1	6	0	20	0	1	0	4	0	7
NOC2L	66	2207	94	1434	56	1800	91	3098	134	2974	34	3339
KLHL17	8	32	0	37	8	44	1	67	16	67	4	78
PLEKHN1	9	118	1	107	7	136	17	128	28	119	9	149
PERM1	4	7	4	5	0	3	5	7	6	2	1	11
ENSG00000272512	1	5	0	3	0	7	5	9	1	8	3	12
HES4	54	69	82	53	135	88	119	13	97	7	38	26
ISG15	9510	16345	9677	9628	10213	22604	24184	5194	30268	4026	15442	5825
ENSG00000231702	1	0	1	0	0	1	0	0	0	0	1	0
ENSG00000224969	1	4	0	1	0	2	0	2	0	0	0	3
AGRN	33	5895	20	3841	20	7394	101	2237	56	2565	17	3586
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	243	95	324	58	299	105	172	85	251	62	215	98
ENSG00000273443	0	6	7	1	7	4	15	2	3	1	0	3
RNF223	49	109	47	60	20	94	8	14	9	26	16	30
C1orf159	4	347	13	211	3	368	11	439	22	438	8	547
ENSG00000285812	0	4	0	1	0	2	0	2	0	9	0	11
LINC01342	0	0	0	0	0	0	0	2	0	1	0	2
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	1	0	3	0	0	0	2
ENSG00000272141	2	10	13	16	10	26	29	34	3	38	13	29
TTLL10-AS1	0	2	0	0	0	1	0	0	0	0	0	3
TTLL10	0	9	0	2	0	11	0	2	0	5	0	9
TNFRSF18	31	19	8	5	2	26	8	21	0	17	0	42
TNFRSF4	1	0	0	0	0	0	0	0	0	0	0	0
SDF4	370	3664	362	2220	341	3801	105	1693	162	2336	114	3099
B3GALT6	51	361	16	288	34	629	11	146	3	167	2	212
C1QTNF12	28	3	21	2	25	6	19	2	24	6	10	7
ENSG00000260179	0	0	0	1	0	0	0	0	0	0	0	1
UBE2J2	415	847	351	546	389	697	190	541	305	566	169	721
LINC01786	0	0	0	0	0	0	0	1	0	0	0	0
SCNN1D	7	61	4	34	8	46	7	17	15	20	17	31
ACAP3	5	290	12	138	0	285	1	54	10	120	0	216
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	205	465	165	256	120	467	117	419	187	436	97	458
INTS11	72	1268	55	800	85	1216	85	1195	86	1247	38	1359
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	1	5	0	0	0	11	6	9	0	11	0	8
CPTP	21	957	15	573	13	964	13	157	55	204	19	312
TAS1R3	0	29	0	21	0	35	0	8	0	6	0	15
DVL1	53	396	58	234	75	462	94	193	102	328	39	472
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	0	10	0	5	0	12	2	12	0	8	0	13
AURKAIP1	9390	2659	9046	1833	9304	3636	6443	2124	9587	2235	4575	2364
NDUFB4P8	2	0	0	0	0	1	0	0	0	1	0	0
CCNL2	62	1874	131	1075	75	1379	23	1563	35	2322	29	2974
MRPL20-AS1	9	630	19	379	9	549	6	399	1	402	9	459
MRPL20	4752	997	4899	624	4752	1173	2393	1289	3572	1257	2206	1207
RN7SL657P	0	0	0	0	0	0	0	0	0	0	0	0
MRPL20-DT	7	13	2	3	4	27	0	18	11	13	0	22
ANKRD65	0	1	0	0	0	0	0	2	22	0	0	2
ENSG00000225905	0	0	0	0	0	0	0	2	6	0	2	1
TMEM88B	5	3	1	1	5	1	2	3	5	1	1	1
LINC01770	24	14	25	6	37	19	22	5	19	9	26	7
VWA1	8	409	2	377	8	750	16	160	13	120	1	211
ATAD3C	0	1	0	1	0	1	2	0	0	0	1	0
ATAD3B	30	309	31	200	30	365	74	246	84	330	47	379
ENSG00000284740	23	2	26	2	24	2	8	1	18	2	10	2
ATAD3A	6	569	22	422	6	674	56	290	60	323	41	550
TMEM240	0	0	1	0	0	1	0	0	0	0	0	0
SSU72	4212	5039	4852	3091	5483	4564	1334	1696	2155	1776	1303	2878
ENSG00000215014	22	17	8	10	6	10	3	8	20	8	2	5
ENSG00000274481	0	0	0	0	0	0	0	0	0	0	0	0
FNDC10	0	25	0	17	0	20	0	0	0	0	0	3
ENSG00000286989	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000272106	0	160	9	131	0	142	3	24	2	19	0	49
MIB2	52	480	36	381	101	624	19	38	57	66	36	186
MMP23B	0	1	0	0	0	0	0	0	0	0	0	0
CDK11B	28	319	21	176	29	389	16	348	25	301	16	289
ENSG00000272004	42	1	31	0	46	0	21	0	16	0	4	0
SLC35E2B	17	1010	9	601	16	702	24	745	34	769	31	805
ENSG00000269737	0	54	1	21	0	27	0	65	0	50	0	73
MMP23A	0	0	0	0	0	0	0	0	0	0	0	0
CDK11A	12	89	6	53	7	95	8	99	2	69	4	96
ENSG00000268575	0	64	0	44	0	38	0	58	0	48	0	58
ENSG00000227775	22	151	17	101	25	159	8	62	11	115	1	96
SLC35E2A	5	115	0	75	3	77	2	105	1	79	3	81
NADK	64	1874	65	1261	102	1638	15	736	26	714	69	911
GNB1	670	2419	695	1487	712	2625	378	1555	477	1455	233	1443
ENSG00000231050	3	4	0	5	0	8	2	0	0	1	0	0
CALML6	0	0	4	1	1	1	0	3	0	3	0	1
TMEM52	95	16	126	9	130	6	42	23	53	35	51	32
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233542	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	1	0	0	0	0	0	0	0	0	0	3	0
ENSG00000226969	1	0	0	0	2	0	0	0	0	2	0	0
PRKCZ	5	646	7	385	12	570	0	100	6	113	20	241
ENSG00000271806	0	5	0	4	0	2	0	2	2	1	0	0
PRKCZ-AS1	0	36	1	13	0	31	0	19	0	19	0	12
FAAP20	638	318	715	199	866	450	225	121	428	171	257	257
ENSG00000234396	0	0	0	0	0	0	0	0	0	0	0	0
SKI	16	352	25	245	2	486	46	274	29	339	6	494
ENSG00000287356	32	23	22	7	26	26	65	17	53	38	31	22
MORN1	29	192	53	122	50	157	2	212	14	241	6	285
ENSG00000272161	0	0	0	0	0	1	0	1	0	0	0	0
ENSG00000269896	0	73	0	48	0	88	4	100	1	93	0	87
ENSG00000272420	8	10	0	7	24	11	3	14	0	10	0	10
RER1	5469	3587	5414	2136	6302	2541	2360	2758	4478	3218	2623	3239
PEX10	10	609	11	401	13	476	24	301	12	488	17	523
PLCH2	5	13	4	5	5	13	0	1	0	8	0	1
ENSG00000224387	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229393	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	6	425	12	292	3	266	24	445	26	430	4	510
HES5	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000272449	5	9	2	1	7	24	0	0	0	2	0	6
TNFRSF14-AS1	1	6	0	3	4	5	0	0	0	1	0	0
TNFRSF14	1	168	1	108	0	157	2	24	3	42	3	41
ENSG00000225931	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228037	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000289610	0	0	2	0	1	0	2	0	0	0	0	0
PRXL2B	14	239	25	182	36	246	29	237	33	253	7	278
MMEL1	4	17	4	11	3	12	2	3	9	3	6	5
MMEL1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	0	2	0	0	0	14	0	3	0	7	0	5
ENSG00000285945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287396	211	2	168	1	152	3	43	3	95	3	16	3
ENSG00000231630	0	0	0	0	0	1	0	1	0	0	0	1
ENSG00000284745	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	1	0	0	2	0	0	0	0	0	0	0
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000279839	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272235	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287828	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286518	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	1	460	1	295	2	449	15	324	3	394	4	554
ENSG00000272088	0	0	0	0	0	0	0	0	0	0	0	2
MEGF6	38	2200	50	1431	70	2279	56	944	56	922	42	1268
MIR551A	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000238260	7	6	0	2	0	6	0	1	7	0	0	4
TPRG1L	108	656	99	452	43	1230	42	319	89	340	31	278
WRAP73	51	539	88	319	65	452	17	762	32	768	42	813
TP73	2	25	3	5	0	26	0	15	1	8	0	4
TP73-AS3	0	0	1	0	0	0	0	0	7	0	0	0
TP73-AS2	0	0	0	0	0	0	0	0	0	0	0	0
TP73-AS1	43	556	15	282	34	295	3	267	13	364	5	392
ENSG00000276189	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	1	0	0	0	0	0	0	0	0
SMIM1	133	16	118	19	145	11	246	7	268	12	111	18
LRRC47	73	1435	140	893	122	1536	54	676	51	985	18	1384
RN7SL574P	0	2	0	0	0	4	0	1	0	2	0	1
ENSG00000272153	0	1	0	0	0	6	0	1	0	3	0	6
CEP104	45	674	82	404	118	528	48	273	16	290	36	501
DFFB	5	106	17	88	12	65	0	137	3	100	12	134
C1orf174	163	1043	146	636	109	716	13	1304	151	1163	64	1076
LINC01134	19	50	30	45	20	41	31	22	33	31	16	42
LINC01346	7	0	11	2	0	1	7	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0
LINC02780	0	0	12	0	0	0	0	0	0	0	0	0
ENSG00000284703	1	0	0	0	0	0	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287586	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0	0
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	1	0	0	0	0	0	0
NPHP4	4	286	8	176	5	244	14	375	14	398	20	417
KCNAB2	84	294	58	162	78	221	19	164	86	140	41	169
CHD5	3	1	0	2	0	3	0	5	0	7	0	3
ENSG00000285629	0	0	0	0	1	0	0	0	0	0	0	1
RPL22	14245	1015	14564	627	14245	947	7339	1643	9007	1524	7508	1423
RNF207-AS1	1	5	1	6	0	5	0	2	0	2	0	1
RNF207	16	246	7	141	17	226	5	313	35	334	5	358
ICMT	142	1695	161	996	166	1102	59	2023	130	1930	87	2032
LINC00337	0	4	8	11	0	9	8	5	0	6	10	14
HES3	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	1	34	0	13	0	40	1	21	0	21	0	29
ACOT7	338	424	300	280	390	452	158	755	259	697	81	681
ENSG00000271746	15	5	2	1	0	4	0	1	0	1	7	1
HES2	127	154	114	66	100	132	30	10	78	14	68	17
ESPN	1	28	4	10	3	35	0	5	0	8	0	6
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	2	19	2	16	5	41	0	28	0	26	0	57
PLEKHG5	1	67	0	34	1	76	1	68	11	63	4	90
NOL9	64	329	47	215	74	243	22	283	68	369	23	491
RNU6-731P	0	1	0	0	0	0	0	1	0	0	0	0
ENSG00000229519	0	4	0	1	0	0	0	0	0	4	0	0
TAS1R1	1	3	0	0	0	1	0	0	0	0	0	0
ZBTB48	93	195	68	133	100	207	55	165	114	178	41	207
KLHL21	6	648	12	368	6	497	3	418	41	385	3	479
PHF13	25	213	13	159	5	147	0	209	2	231	6	300
THAP3	175	176	168	103	143	174	49	132	56	107	97	120
DNAJC11	47	662	27	412	65	419	35	921	55	802	53	891
LINC01672	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284744	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	23	3	13	0	7	3	4	0	0	1	0	0
CAMTA1	3682	305	4090	175	3860	268	1147	282	1715	294	1436	307
ENSG00000227950	10	1	12	0	21	1	5	0	12	0	5	2
ENSG00000237365	0	0	0	0	4	0	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-IT1	9	1	17	1	3	0	0	0	0	2	0	1
CAMTA1-AS2	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-AS1	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000270171	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270035	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269978	0	0	0	0	0	0	0	0	0	0	0	0
VAMP3	392	1972	325	1291	402	1323	34	1613	167	1375	121	1313
ENSG00000269925	0	3	0	1	0	4	0	1	0	2	0	3
PER3	24	308	37	176	71	238	15	483	13	491	34	527
ENSG00000236266	3	5	0	0	0	2	0	5	0	5	0	8
UTS2	453	96	572	56	546	86	490	118	516	88	457	108
TNFRSF9	108	148	100	81	113	170	31	97	28	98	43	87
ENSG00000270330	0	0	0	0	0	0	0	0	0	0	0	0
PARK7	11376	2882	12173	1743	11874	2671	3266	3956	4773	3622	3844	3608
Y_RNA	53	73	66	52	45	79	16	128	28	160	13	145
ENSG00000284747	12	6	21	5	8	15	22	4	15	20	0	15
ENSG00000284716	0	1	0	0	0	0	0	3	0	4	0	5
ERRFI1	289	1154	280	819	268	801	164	2737	184	3049	125	3467
ENSG00000238290	2	5	2	3	1	0	1	4	4	5	3	10
ENSG00000232848	0	1	0	1	2	0	0	1	0	1	0	0
ENSG00000229305	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000288816	0	2	0	0	5	0	0	0	0	0	0	1
LINC01714	11	2	4	0	13	3	0	11	31	12	2	9
RNU1-7P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	2	0	0	0	0	1	0	0	0	0
RNU6-991P	0	0	3	0	0	0	0	0	0	0	0	0
SLC45A1	0	0	0	1	0	1	3	1	2	0	0	1
RERE	42	701	61	443	39	819	23	659	42	637	22	691
RERE-AS1	0	0	6	1	1	0	0	0	0	2	0	0
ENSG00000221083	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270282	0	1	0	0	0	0	0	0	0	0	0	0
RPL7P11	0	1	4	0	0	0	0	0	0	0	0	1
RPL7P7	0	0	0	1	0	1	0	0	0	0	0	1
ENSG00000226545	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000228423	0	0	0	0	0	0	0	0	0	0	0	1
RPL23AP19	0	0	3	0	0	0	1	0	0	0	0	0
ENO1	2237	15718	2359	9716	2184	13194	1051	36268	1856	34773	1104	35516
MIR6728	0	0	0	0	0	0	0	0	0	0	0	0
ENO1-AS1	4	2	1	1	6	3	0	6	9	4	1	1
RNU6-304P	0	0	0	0	0	0	0	0	0	0	0	0
HMGN2P17	0	0	0	0	0	3	0	0	1	0	0	0
ENSG00000232208	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0	0	0	0	0
CA6	0	2	0	0	0	0	0	1	0	1	0	0
RN7SL451P	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A5	0	13	0	6	0	6	0	0	0	0	0	0
ENSG00000252404	0	0	0	0	0	0	0	0	0	0	0	0
GPR157	20	106	12	73	11	71	8	102	17	98	13	103
MIR34AHG	0	7	5	2	0	7	1	19	0	15	0	30
MIR34A	0	0	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	0	6	0	2	0	4	0	1	0	1	0	2
H6PD	6	1060	3	568	0	964	15	709	35	701	20	779
SPSB1	386	291	506	186	766	224	90	82	124	95	78	96
ENSG00000284652	0	0	0	0	0	0	0	0	0	0	0	0
LINC02606	54	8	57	10	47	7	4	7	19	5	24	10
RNA5SP40	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A33	188	135	327	72	469	86	55	35	46	44	44	92
ENSG00000231181	0	3	4	0	2	3	0	0	0	0	0	1
TMEM201	3	270	6	204	25	279	11	257	29	308	4	331
PIK3CD	2	226	10	166	9	177	23	168	2	141	2	178
PIK3CD-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CD-AS2	70	11	78	10	60	8	213	4	278	4	151	5
CLSTN1	95	3574	80	2335	106	3146	71	1155	54	1081	32	1455
MZT1P1	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000280113	0	2	0	1	0	3	0	2	0	0	0	3
CTNNBIP1	92	269	110	183	140	279	59	147	73	219	21	351
ENSG00000223989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285701	3	0	0	0	0	0	0	1	0	0	0	0
LZIC	2057	436	2195	307	2186	384	601	659	704	549	847	532
ENSG00000228150	158	1	152	5	167	10	25	6	10	2	44	6
NMNAT1	266	156	228	125	273	120	17	182	153	156	63	123
RN7SKP269	270	1	213	0	206	2	24	1	81	0	60	0
TMEM274P	0	0	0	0	0	0	0	0	0	1	0	1
MIR5697	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0
RBP7	93	3	140	3	93	11	88	3	143	9	66	4
UBE4B	141	939	110	504	149	778	68	955	62	877	45	874
ENSG00000224340	0	0	0	0	0	0	0	0	2	0	1	0
PGAM1P11	0	0	0	0	0	2	0	0	0	4	0	0
RNU6-828P	0	0	0	0	0	0	0	0	0	0	0	0
KIF1B	96	659	88	375	68	488	40	643	57	742	40	748
ENSG00000264881	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-37P	16	0	29	0	33	1	4	0	9	0	4	1
RN7SL731P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284735	0	2	0	0	2	0	0	3	0	1	0	1
ENSG00000284642	0	1	0	1	0	0	0	1	0	5	0	3
PGD	574	6125	436	3862	402	5144	178	8656	235	7978	195	8405
ENSG00000271989	2	0	0	0	3	0	0	1	0	0	0	0
CENPS-CORT	24	4	34	1	14	2	20	4	37	9	5	4
CENPS	629	63	664	28	607	60	250	72	380	113	305	85
CORT	28	3	29	0	23	2	11	10	21	9	3	7
DFFA	275	1271	348	776	269	1239	129	1665	180	1577	79	1707
ENSG00000203469	0	0	0	0	0	0	0	0	0	0	0	0
PEX14	116	154	99	105	99	119	64	137	54	129	30	177
ENSG00000287727	0	1	0	0	0	1	0	2	0	2	0	3
RN7SL614P	0	1	0	0	0	0	0	2	0	0	0	0
CASZ1	19	237	15	126	20	240	21	117	1	112	4	153
ENSG00000272078	0	0	0	2	0	0	0	2	4	3	3	3
HSPE1P24	0	0	0	0	0	0	0	0	0	0	0	0
C1orf127	0	0	0	1	0	0	1	0	0	0	0	0
CFL1P6	0	0	0	0	0	1	0	0	0	0	0	0
TARDBP	262	2825	298	1785	245	1556	106	3764	117	3616	90	3296
MASP2	3	5	0	1	5	4	0	6	0	11	0	16
SRM	323	661	333	528	366	910	180	404	281	456	83	570
EXOSC10	122	1237	83	696	92	916	89	1405	30	1445	57	1398
ENSG00000226849	0	0	0	0	0	0	0	3	0	9	0	5
EXOSC10-AS1	61	33	101	24	76	35	76	13	42	17	19	20
MTOR	113	1239	87	696	83	967	85	1493	121	1486	75	1548
MTOR-AS1	9	0	0	1	0	0	0	1	0	0	4	0
RNU6-537P	0	0	0	0	0	1	0	0	0	0	0	0
ANGPTL7	0	1	0	2	0	0	0	1	0	3	0	1
RNU6-291P	0	0	0	0	0	0	0	0	0	0	0	0
RPL39P6	1	0	1	0	0	0	2	0	1	0	0	0
UBIAD1	140	405	58	221	94	298	60	412	15	392	10	391
UBE2V2P3	0	0	3	0	1	0	0	5	0	1	0	3
ENSG00000284646	0	0	0	0	0	0	0	0	0	0	0	0
MTCYBP45	0	0	0	0	0	0	0	0	0	0	0	0
DISP3	4	0	0	0	6	0	1	0	0	0	0	3
ENSG00000285833	0	0	0	0	0	0	0	0	0	0	0	0
LINC01647	8	0	0	1	13	1	0	2	0	1	0	1
ENSG00000284708	0	1	0	0	0	3	0	0	0	3	0	4
FBXO2	81	1421	98	888	95	1597	18	191	74	429	11	590
FBXO44	4	156	18	96	18	163	11	134	3	154	2	141
FBXO6	23	35	21	15	21	26	5	26	23	29	2	46
MAD2L2	2095	634	1798	370	1758	623	734	563	1362	709	755	758
DRAXIN	0	0	0	0	0	0	0	0	0	0	0	0
AGTRAP	318	1552	360	1001	419	1523	358	1428	503	1225	223	1332
C1orf167	0	0	0	0	0	0	0	0	0	1	0	0
C1orf167-AS1	0	0	0	0	0	0	0	0	0	0	0	0
MTHFR	10	219	21	135	7	205	31	74	14	75	4	98
CLCN6	12	228	6	119	17	166	53	240	14	243	2	260
ENSG00000276470	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0	0	0	0	0	0	0
NPPA	0	4	0	0	0	1	0	0	0	2	0	2
ENSG00000275915	0	0	0	0	0	0	0	0	0	0	0	0
NPPB	0	35	0	14	3	20	0	1	0	1	0	0
SBF1P2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285646	30	8	26	13	33	10	2	2	0	7	6	7
RNU5E-1	0	0	0	0	0	0	0	0	0	0	0	0
RNU5E-4P	0	0	1	0	0	0	0	0	0	1	0	0
KIAA2013	16	639	23	420	55	776	15	373	56	377	8	460
PLOD1	16	2761	23	1637	36	2342	51	1948	36	1725	16	1968
ENSG00000287384	0	0	0	0	0	0	0	0	0	0	0	0
MFN2	82	2034	111	1322	86	1508	44	2209	100	2141	67	2117
ENSG00000270914	0	0	0	0	0	0	0	0	0	0	0	0
MIIP	35	260	72	173	60	341	29	249	99	244	21	270
MIR6729	0	0	0	0	0	0	0	1	0	0	0	0
RN7SL649P	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF8	0	33	0	22	2	28	0	6	0	7	4	6
RNU6-777P	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP89	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000285604	0	0	0	0	0	0	0	0	0	0	0	0
MIR7846	0	0	0	0	0	0	0	0	0	0	0	2
TNFRSF1B	0	19	4	17	0	17	0	29	0	32	0	62
MIR4632	0	0	0	0	0	0	0	0	0	0	0	0
RPL10P17	0	0	0	0	0	0	0	0	0	0	0	0
SNORA70	1	3	0	2	0	5	0	1	0	4	0	10
VPS13D	30	902	44	619	1	746	24	1123	120	943	8	1086
SNORA59A	0	0	0	0	0	0	0	1	0	0	0	1
LINC02766	0	1	0	3	0	5	0	4	0	5	0	7
DHRS3	202	12171	209	7894	123	10838	94	5658	133	4652	42	5787
RNU6ATAC18P	0	1	0	1	0	0	0	0	0	1	0	1
